epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.474,1.04981,0.67866,1.08199,0.92099,0.70262,0.7872,0.58262,0.87753,0.54625,0.95895,0.0201448,9.95475e-05,9.95475e-05
2,275.953,1.0007,0.64732,1.05432,0.89518,0.70842,0.7871,0.59374,0.82353,0.5292,0.93968,0.0102436,0.000198319,0.000198319
3,434.682,0.96011,0.61021,1.03792,0.89031,0.70803,0.7829,0.59212,0.83606,0.5309,0.95174,0.000337466,0.000292217,0.000292217
4,613.697,0.95787,0.61449,1.04078,0.9198,0.70461,0.78491,0.5734,0.94125,0.56261,0.98211,0.000283651,0.000283651,0.000283651
5,739.353,0.97322,0.6202,1.04411,0.90252,0.72031,0.7791,0.56919,0.91802,0.55397,0.97152,0.000271353,0.000271353,0.000271353
6,893.037,0.99307,0.62238,1.05934,0.90094,0.7062,0.78801,0.59142,0.86072,0.55664,0.95707,0.000256066,0.000256066,0.000256066
7,1012.31,0.99167,0.62005,1.05399,0.91204,0.71792,0.79028,0.58919,0.86079,0.53786,0.94957,0.000238168,0.000238168,0.000238168
8,1132.39,0.96837,0.6051,1.03904,0.92292,0.72572,0.79302,0.60391,0.81694,0.5238,0.94071,0.000218099,0.000218099,0.000218099
9,1271,0.94036,0.59373,1.04487,0.91809,0.72193,0.79155,0.59152,0.8392,0.52758,0.94365,0.000196353,0.000196353,0.000196353
10,1396.71,0.9252,0.58673,1.02671,0.93587,0.70919,0.79565,0.59465,0.81063,0.51891,0.94143,0.000173465,0.000173465,0.000173465
11,1527.72,0.90393,0.48314,1.02354,0.95432,0.68797,0.78719,0.5897,0.838,0.52957,0.95429,0.00015,0.00015,0.00015
12,1631.91,0.88496,0.46962,1.01159,0.92674,0.70825,0.78668,0.59162,0.83663,0.5129,0.95037,0.000126535,0.000126535,0.000126535
13,1737.03,0.86485,0.46606,1.00453,0.9153,0.70646,0.78421,0.59159,0.82395,0.52514,0.9438,0.000103648,0.000103648,0.000103648
14,1835.05,0.86053,0.45738,0.99763,0.92743,0.71186,0.79521,0.60266,0.80544,0.51059,0.93943,8.19016e-05,8.19016e-05,8.19016e-05
15,1982.01,0.851,0.45458,0.99984,0.93982,0.69744,0.79012,0.59541,0.8167,0.51934,0.94084,6.18325e-05,6.18325e-05,6.18325e-05
16,2110.96,0.84866,0.44357,0.985,0.9205,0.70802,0.79078,0.59946,0.79636,0.50427,0.93342,4.39342e-05,4.39342e-05,4.39342e-05
17,2258.47,0.84366,0.44335,0.98854,0.94079,0.69764,0.78902,0.5954,0.81609,0.50939,0.93696,2.86477e-05,2.86477e-05,2.86477e-05
18,2406.61,0.84917,0.44279,0.99243,0.93479,0.70886,0.79133,0.60216,0.78651,0.50092,0.93108,1.63493e-05,1.63493e-05,1.63493e-05
19,2549.59,0.84552,0.435,0.9835,0.93344,0.71395,0.79169,0.5985,0.80006,0.50492,0.93355,7.34182e-06,7.34182e-06,7.34182e-06
20,2646.82,0.84135,0.43586,0.98063,0.93774,0.7101,0.79168,0.60139,0.79494,0.50517,0.93173,1.84705e-06,1.84705e-06,1.84705e-06
