epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.088,0.95539,0.59382,1.02129,0.9284,0.70628,0.79372,0.60702,0.7896,0.51279,0.92954,0.00504751,2.48869e-05,2.48869e-05
2,749.571,0.93297,0.5884,1.00637,0.92565,0.71423,0.79485,0.6081,0.77824,0.50793,0.92332,7.22042e-05,4.95798e-05,4.95798e-05
3,1165.53,0.92868,0.58199,1.0062,0.90545,0.72384,0.79176,0.61024,0.77655,0.50498,0.92623,4.87764e-05,4.87764e-05,4.87764e-05
4,1619.92,0.90972,0.57052,1.00812,0.90737,0.73057,0.79082,0.60984,0.76655,0.50343,0.92416,4.72752e-05,4.72752e-05,4.72752e-05
5,1942.98,0.9115,0.57164,1.00321,0.90163,0.72639,0.79185,0.61679,0.74177,0.49797,0.91909,4.52254e-05,4.52254e-05,4.52254e-05
6,2395.73,0.90636,0.56542,1.00335,0.91287,0.72408,0.79178,0.61409,0.74799,0.49773,0.91928,4.26777e-05,4.26777e-05,4.26777e-05
7,2688.54,0.89705,0.56531,0.99842,0.8976,0.73196,0.79405,0.61669,0.74,0.49394,0.9162,3.96946e-05,3.96946e-05,3.96946e-05
8,3031.04,0.90756,0.57577,1.00334,0.89178,0.73175,0.79395,0.61729,0.73242,0.49389,0.91535,3.63498e-05,3.63498e-05,3.63498e-05
9,3356.07,0.89813,0.56587,0.99608,0.90255,0.72942,0.7937,0.61296,0.75137,0.49548,0.91809,3.27254e-05,3.27254e-05,3.27254e-05
10,3716.7,0.88542,0.56731,0.99126,0.90054,0.72548,0.79472,0.61505,0.73232,0.49352,0.91868,2.89109e-05,2.89109e-05,2.89109e-05
11,3983.65,0.77087,0.43679,0.95427,0.93058,0.70241,0.7893,0.6121,0.73808,0.50191,0.92896,2.5e-05,2.5e-05,2.5e-05
12,4302.35,0.75107,0.4271,0.94559,0.93318,0.70316,0.78754,0.61484,0.72062,0.49504,0.92419,2.10892e-05,2.10892e-05,2.10892e-05
13,4623.7,0.75983,0.41712,0.94739,0.93745,0.71059,0.7909,0.61516,0.72787,0.49386,0.923,1.72746e-05,1.72746e-05,1.72746e-05
14,4911.6,0.75494,0.42187,0.94255,0.94027,0.70865,0.79014,0.62101,0.71764,0.49055,0.92314,1.36503e-05,1.36503e-05,1.36503e-05
15,5256.25,0.75431,0.41828,0.94024,0.9364,0.71548,0.79555,0.62137,0.72052,0.48869,0.92301,1.03054e-05,1.03054e-05,1.03054e-05
16,5615.85,0.75068,0.41953,0.93808,0.93598,0.71221,0.78986,0.62191,0.71081,0.48485,0.9195,7.32237e-06,7.32237e-06,7.32237e-06
17,5919.03,0.74901,0.41792,0.94263,0.93661,0.70906,0.79023,0.62112,0.71125,0.49084,0.92011,4.77462e-06,4.77462e-06,4.77462e-06
18,6257.34,0.75744,0.41998,0.95838,0.93786,0.71316,0.79061,0.61915,0.71617,0.48827,0.92081,2.72488e-06,2.72488e-06,2.72488e-06
19,6595.05,0.73929,0.41453,0.94034,0.93845,0.70632,0.79172,0.61958,0.72374,0.49338,0.92708,1.22364e-06,1.22364e-06,1.22364e-06
20,6858.56,0.75051,0.41435,0.93759,0.93862,0.70718,0.79238,0.61995,0.72065,0.49125,0.92472,3.07841e-07,3.07841e-07,3.07841e-07
