epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.236,1.44779,1.20292,1.38779,0.88999,0.68434,0.74738,0.5159,1.12829,0.71545,1.04235,0.0336742,0.00026546,0.00026546
2,243.456,1.38837,1.21392,1.34835,0.91626,0.65017,0.73597,0.47197,1.20545,0.74891,1.06927,0.0172636,0.000521485,0.000521485
3,354.768,1.38621,1.22711,1.33952,0.88628,0.66778,0.73696,0.48894,1.16688,0.74581,1.07179,0.000842259,0.000766844,0.000766844
4,467.521,1.39239,1.22462,1.33827,0.89961,0.63914,0.72065,0.49441,1.1034,0.78481,1.05872,0.000752004,0.000752004,0.000752004
5,577.562,1.37219,1.23891,1.33993,0.87287,0.66023,0.72173,0.47298,1.22509,0.78178,1.10846,0.000736005,0.000736005,0.000736005
6,694.847,1.37725,1.2457,1.34065,0.89253,0.64084,0.7297,0.50286,1.06191,0.75375,1.05166,0.000720006,0.000720006,0.000720006
7,810.234,1.38713,1.23015,1.33562,0.84665,0.65154,0.71377,0.44492,1.3236,0.82204,1.11745,0.000704008,0.000704008,0.000704008
8,942.694,1.36438,1.2122,1.32271,0.89092,0.67179,0.74255,0.47944,1.25556,0.73887,1.09551,0.000688009,0.000688009,0.000688009
9,1077.64,1.34447,1.19278,1.32621,0.89654,0.64401,0.73991,0.49568,1.10031,0.73164,1.06811,0.00067201,0.00067201,0.00067201
10,1210,1.34553,1.191,1.32113,0.881,0.65032,0.73593,0.49493,1.12481,0.7169,1.05671,0.000656012,0.000656012,0.000656012
11,1343.52,1.36195,1.17647,1.31534,0.9111,0.65425,0.73656,0.47107,1.22487,0.7763,1.0839,0.000640013,0.000640013,0.000640013
12,1476.28,1.35438,1.18328,1.31559,0.92529,0.64522,0.74161,0.4813,1.16488,0.70286,1.0672,0.000624014,0.000624014,0.000624014
13,1604.47,1.34548,1.15342,1.31559,0.92631,0.67062,0.74771,0.4848,1.22975,0.73347,1.09772,0.000608015,0.000608015,0.000608015
14,1730.89,1.33445,1.17852,1.31943,0.91348,0.66172,0.74205,0.4837,1.21407,0.73262,1.0712,0.000592017,0.000592017,0.000592017
15,1862.92,1.33263,1.16772,1.30935,0.89671,0.6761,0.74337,0.47673,1.20957,0.69693,1.07413,0.000576018,0.000576018,0.000576018
16,1982.88,1.30919,1.12718,1.28843,0.90396,0.67118,0.74897,0.49892,1.12488,0.68143,1.04394,0.000560019,0.000560019,0.000560019
17,2102.99,1.30831,1.11411,1.28804,0.9291,0.64871,0.74425,0.49038,1.1448,0.69754,1.05257,0.00054402,0.00054402,0.00054402
18,2226.72,1.30395,1.11101,1.29179,0.90457,0.66261,0.74501,0.48531,1.15824,0.68846,1.05545,0.000528022,0.000528022,0.000528022
19,2354.28,1.31849,1.13442,1.29371,0.9058,0.67443,0.74783,0.50209,1.09159,0.67416,1.04144,0.000512023,0.000512023,0.000512023
20,2477.34,1.31296,1.1257,1.2872,0.92971,0.66537,0.755,0.51592,1.0369,0.67374,1.02669,0.000496024,0.000496024,0.000496024
1,127.17,1.27757,1.10444,1.26087,0.88523,0.67131,0.74709,0.51111,1.09584,0.67091,1.04976,0.0336742,0.00026546,0.00026546
2,254.551,1.25174,1.092,1.25695,0.88405,0.69455,0.75352,0.51602,1.06809,0.67584,1.03352,0.0172565,0.000514391,0.000514391
3,378.838,1.25332,1.07593,1.25321,0.85493,0.68034,0.74407,0.49175,1.09676,0.72472,1.04111,0.00082096,0.000745545,0.000745545
4,500.353,1.25701,1.06781,1.25367,0.89527,0.67898,0.75059,0.52057,1.01662,0.6865,1.01907,0.000720006,0.000720006,0.000720006
5,607.132,1.25393,1.08189,1.25593,0.89565,0.66698,0.75484,0.50393,1.11623,0.71351,1.05899,0.000693342,0.000693342,0.000693342
6,712.843,1.2646,1.07892,1.2623,0.89972,0.66139,0.74468,0.50844,1.04856,0.68487,1.03904,0.000666677,0.000666677,0.000666677
7,838.37,1.27326,1.07808,1.26757,0.86097,0.67876,0.73923,0.49307,1.14694,0.71162,1.06592,0.000640013,0.000640013,0.000640013
8,955.828,1.25921,1.05865,1.24999,0.89243,0.66946,0.75393,0.51279,1.1018,0.67512,1.04253,0.000613348,0.000613348,0.000613348
9,1071.55,1.23773,1.04062,1.25054,0.89331,0.68605,0.75614,0.51772,1.06394,0.6725,1.03372,0.000586684,0.000586684,0.000586684
10,1197.63,1.23545,1.05435,1.25149,0.8693,0.68765,0.7586,0.52534,1.01106,0.64334,1.01752,0.000560019,0.000560019,0.000560019
11,1329.45,1.25395,1.03525,1.25242,0.91244,0.6649,0.75516,0.50002,1.10449,0.66135,1.04575,0.000533355,0.000533355,0.000533355
12,1461.41,1.23962,1.03244,1.24266,0.87503,0.67862,0.7551,0.51454,1.11421,0.66382,1.04659,0.00050669,0.00050669,0.00050669
13,1594.17,1.21448,1.00183,1.22936,0.8996,0.67843,0.75675,0.52458,1.06442,0.64728,1.03817,0.000480026,0.000480026,0.000480026
14,1725.68,1.21699,1.02434,1.24443,0.93682,0.6642,0.76731,0.52475,1.07012,0.64677,1.03241,0.000453361,0.000453361,0.000453361
15,1855.62,1.21512,1.00824,1.22996,0.89539,0.7016,0.77447,0.51539,1.12396,0.63849,1.03525,0.000426697,0.000426697,0.000426697
16,1988.84,1.19163,0.98498,1.21126,0.93576,0.66487,0.76598,0.53711,0.99056,0.61044,1.00113,0.000400032,0.000400032,0.000400032
17,2109.52,1.19238,0.9723,1.21507,0.93978,0.66366,0.77639,0.54476,0.98175,0.60351,0.9975,0.000373367,0.000373367,0.000373367
18,2230.98,1.18996,0.96379,1.219,0.89637,0.69302,0.76793,0.51721,1.10961,0.60807,1.03553,0.000346703,0.000346703,0.000346703
19,2354.32,1.20076,0.97143,1.22133,0.88264,0.70065,0.76414,0.54061,0.99444,0.60735,0.99607,0.000320038,0.000320038,0.000320038
20,2478.56,1.21074,0.98888,1.22522,0.90442,0.70681,0.77557,0.54693,0.96516,0.57962,0.9897,0.000293374,0.000293374,0.000293374
21,2608.82,1.08246,0.6699,1.1388,0.91467,0.67528,0.76968,0.5511,0.95588,0.60073,0.99115,0.000266709,0.000266709,0.000266709
22,2720.18,1.06156,0.62252,1.12181,0.90839,0.68326,0.76755,0.55365,0.94113,0.60362,0.98268,0.000240045,0.000240045,0.000240045
23,2826.56,1.05961,0.6137,1.11758,0.90485,0.67949,0.77184,0.56027,0.91046,0.5915,0.9778,0.00021338,0.00021338,0.00021338
24,2922.74,1.03654,0.59366,1.10755,0.93028,0.67748,0.77493,0.55113,0.98164,0.58408,0.99561,0.000186716,0.000186716,0.000186716
25,3020.62,1.03018,0.59601,1.09766,0.8936,0.69915,0.78055,0.55333,0.9649,0.58614,0.99261,0.000160051,0.000160051,0.000160051
26,3111.95,0.99482,0.57096,1.08011,0.92491,0.70652,0.78509,0.56599,0.95197,0.58372,0.98187,0.000133387,0.000133387,0.000133387
27,3206.35,1.0072,0.56619,1.08669,0.92231,0.69718,0.77862,0.56691,0.91348,0.57133,0.97206,0.000106722,0.000106722,0.000106722
28,3312.04,1.00493,0.55994,1.08396,0.91511,0.70215,0.77879,0.56512,0.92175,0.57071,0.97323,8.00576e-05,8.00576e-05,8.00576e-05
29,3413.36,0.9946,0.5546,1.07673,0.92271,0.6988,0.78269,0.57196,0.90342,0.55398,0.96663,5.33931e-05,5.33931e-05,5.33931e-05
30,3517,0.97805,0.54317,1.06814,0.89998,0.71501,0.78351,0.57406,0.8838,0.55406,0.96213,2.67285e-05,2.67285e-05,2.67285e-05
