epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.475,1.2135,0.86954,1.16585,0.87097,0.6939,0.76371,0.55765,0.95898,0.61013,0.99554,0.0401448,9.95475e-05,9.95475e-05
2,273.141,1.17623,0.82245,1.13887,0.90809,0.69048,0.77322,0.53472,1.0267,0.6054,1.00495,0.0302448,0.000199526,0.000199526
3,413.203,1.17719,0.81557,1.13402,0.90445,0.66423,0.75523,0.53596,0.95838,0.62641,0.9861,0.0203447,0.000299416,0.000299416
4,529.152,1.18086,0.82177,1.14923,0.89537,0.69212,0.76073,0.55426,0.88835,0.61174,0.97223,0.0104444,0.000399153,0.000399153
5,644.019,1.17339,0.8401,1.13802,0.89302,0.69522,0.7745,0.54693,0.95835,0.62543,0.99538,0.00054392,0.000498672,0.000498672
1,123.821,1.31337,0.9314,1.22568,0.90796,0.66001,0.74534,0.50912,1.08201,0.68901,1.03961,0.0401647,0.000119457,0.000119457
2,262.868,1.28888,0.90423,1.20533,0.92204,0.68393,0.76245,0.54675,0.97219,0.61321,0.98815,0.0302847,0.000239442,0.000239442
3,422.443,1.28666,0.91126,1.20215,0.93071,0.65965,0.76186,0.50588,1.19871,0.66333,1.06245,0.0204046,0.000359368,0.000359368
4,549.704,1.31729,0.93185,1.22742,0.88388,0.68391,0.75359,0.55156,0.89732,0.61618,0.9884,0.0105244,0.000479191,0.000479191
5,687.462,1.31256,0.93844,1.22582,0.90436,0.67692,0.74738,0.53143,0.94195,0.63716,0.99989,0.000644114,0.000598866,0.000598866
6,833.485,1.30178,0.94515,1.22171,0.88985,0.68995,0.75679,0.53311,1.00256,0.65914,1.00811,0.000599075,0.000599075,0.000599075
7,958.388,1.31322,0.94447,1.2233,0.89167,0.6868,0.75463,0.52207,1.01964,0.66558,1.0138,0.000598669,0.000598669,0.000598669
8,1085.27,1.30852,0.93678,1.21672,0.90147,0.67654,0.75167,0.52668,1.02155,0.6648,1.01671,0.000598188,0.000598188,0.000598188
9,1244.14,1.27345,0.91225,1.21856,0.93374,0.65141,0.74422,0.51434,1.07562,0.67469,1.03143,0.000597634,0.000597634,0.000597634
10,1419.44,1.2899,0.92363,1.1998,0.90372,0.67113,0.75165,0.53137,0.9976,0.65058,0.9966,0.000597007,0.000597007,0.000597007
11,1576.62,1.29893,0.93799,1.21717,0.8889,0.68073,0.76058,0.52494,1.01888,0.65977,1.0143,0.000596307,0.000596307,0.000596307
12,1708.41,1.31982,0.94601,1.22537,0.92722,0.66262,0.7545,0.52397,0.99364,0.65011,1.00485,0.000595533,0.000595533,0.000595533
1,135.016,1.27827,0.91177,1.2024,0.94418,0.65731,0.75605,0.53274,0.98349,0.63762,1.00831,0.0401647,0.000119457,0.000119457
2,268.769,1.23338,0.86266,1.17402,0.90555,0.67762,0.75958,0.5459,0.94953,0.62262,0.98693,0.0302847,0.000239442,0.000239442
1,149.037,1.31955,0.95208,1.23007,0.90957,0.64991,0.73046,0.49387,1.13417,0.69597,1.05297,0.0401647,0.000119457,0.000119457
2,288.098,1.3083,0.92893,1.21575,0.89508,0.68142,0.7547,0.52436,1.03242,0.63186,1.01697,0.0302847,0.000239442,0.000239442
3,452.513,1.29059,0.92881,1.20404,0.91641,0.6734,0.75863,0.5015,1.15696,0.65735,1.05091,0.0204046,0.000359368,0.000359368
4,577.624,1.33081,0.95916,1.23214,0.90239,0.67018,0.7607,0.55393,0.87457,0.61434,0.98592,0.0105244,0.000479191,0.000479191
5,696.814,1.32002,0.95625,1.22955,0.85858,0.67371,0.74306,0.53993,0.91569,0.64496,0.99038,0.000644114,0.000598866,0.000598866
1,134.679,1.31955,0.95208,1.23007,0.90957,0.64991,0.73046,0.49387,1.13417,0.69597,1.05297,0.0401647,0.000119457,0.000119457
2,272.115,1.3083,0.92893,1.21575,0.89508,0.68142,0.7547,0.52436,1.03242,0.63186,1.01697,0.0302847,0.000239442,0.000239442
3,430.612,1.29059,0.92881,1.20404,0.91641,0.6734,0.75863,0.5015,1.15696,0.65735,1.05091,0.0204046,0.000359368,0.000359368
4,566.142,1.33081,0.95916,1.23214,0.90239,0.67018,0.7607,0.55393,0.87457,0.61434,0.98592,0.0105244,0.000479191,0.000479191
