epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.646,1.30061,1.02292,1.23415,0.84294,0.62715,0.6915,0.46632,1.12227,0.89917,1.05005,0.0256109,0.000497738,0.000497738
2,233.919,1.38573,1.22038,1.31095,0.76623,0.56739,0.63029,0.39752,1.24707,1.07544,1.14244,0.00107761,0.000964483,0.000964483
3,351.263,1.37363,1.18164,1.29308,0.84079,0.58037,0.66603,0.42363,1.30145,0.98937,1.13147,0.00093334,0.00093334,0.00093334
4,468.197,1.37966,1.18471,1.29283,0.81898,0.59815,0.66005,0.43145,1.21213,0.94584,1.10417,0.00090001,0.00090001,0.00090001
5,583.857,1.35786,1.17373,1.29122,0.87158,0.60521,0.69243,0.45222,1.22833,0.89569,1.0973,0.00086668,0.00086668,0.00086668
6,696.375,1.3593,1.14351,1.28568,0.87698,0.59,0.6778,0.43144,1.29154,0.93622,1.13395,0.00083335,0.00083335,0.00083335
7,823.975,1.34071,1.09889,1.26242,0.86487,0.6073,0.6956,0.44067,1.23499,0.85213,1.09802,0.00080002,0.00080002,0.00080002
8,942.756,1.30739,1.0593,1.24915,0.89748,0.6226,0.71705,0.47385,1.17587,0.80625,1.06799,0.00076669,0.00076669,0.00076669
9,1060.88,1.30579,1.0369,1.24854,0.85648,0.64527,0.72328,0.47799,1.20991,0.79101,1.06416,0.00073336,0.00073336,0.00073336
10,1182.7,1.3002,1.0167,1.24723,0.84398,0.63389,0.71056,0.48393,1.12262,0.7688,1.04636,0.00070003,0.00070003,0.00070003
11,1295.45,1.28016,0.98643,1.23381,0.85758,0.6508,0.7169,0.49176,1.06972,0.7529,1.03,0.0006667,0.0006667,0.0006667
12,1406.3,1.26104,0.97872,1.214,0.89362,0.66354,0.7341,0.49397,1.12264,0.73231,1.03063,0.00063337,0.00063337,0.00063337
13,1516.66,1.24175,0.94409,1.21035,0.84476,0.65136,0.73047,0.50865,1.08991,0.71058,1.02747,0.00060004,0.00060004,0.00060004
14,1637.29,1.22627,0.92489,1.19687,0.89884,0.63663,0.7237,0.47402,1.21516,0.75562,1.056,0.00056671,0.00056671,0.00056671
15,1757.26,1.23571,0.92148,1.19957,0.9167,0.66401,0.74463,0.49067,1.13649,0.69451,1.03518,0.00053338,0.00053338,0.00053338
16,1878.46,1.22221,0.89261,1.18265,0.91602,0.64785,0.75328,0.53283,1.04083,0.66892,1.00996,0.00050005,0.00050005,0.00050005
17,2000.56,1.21033,0.87472,1.18639,0.91432,0.66072,0.73884,0.51427,1.04818,0.6694,1.00665,0.00046672,0.00046672,0.00046672
18,2121.72,1.18607,0.84395,1.17528,0.88969,0.66775,0.73859,0.49555,1.17285,0.68822,1.0432,0.00043339,0.00043339,0.00043339
19,2244.85,1.19025,0.85839,1.17635,0.87282,0.69394,0.75064,0.51798,1.06598,0.66587,1.01418,0.00040006,0.00040006,0.00040006
20,2360.04,1.17102,0.84867,1.15898,0.92827,0.66023,0.75666,0.55672,0.90209,0.62457,0.97301,0.00036673,0.00036673,0.00036673
21,2480.45,0.94965,0.63037,1.05025,0.91175,0.65988,0.74916,0.55229,0.88865,0.64552,0.98718,0.0003334,0.0003334,0.0003334
22,2585.27,0.92311,0.59239,1.0337,0.90004,0.67535,0.76082,0.55391,0.9321,0.622,0.98769,0.00030007,0.00030007,0.00030007
23,2685.72,0.91491,0.57677,1.02023,0.91692,0.66489,0.75682,0.55673,0.90569,0.62376,0.97286,0.00026674,0.00026674,0.00026674
24,2789.53,0.90549,0.56277,1.01698,0.88168,0.68868,0.76121,0.54656,0.97631,0.61997,0.98607,0.00023341,0.00023341,0.00023341
25,2895.79,0.89253,0.55019,1.00835,0.91707,0.67878,0.77,0.56707,0.90135,0.59846,0.97454,0.00020008,0.00020008,0.00020008
26,3000.6,0.85619,0.51757,0.99208,0.93511,0.67693,0.77013,0.56939,0.89622,0.60432,0.96402,0.00016675,0.00016675,0.00016675
27,3110.33,0.86456,0.51727,0.98591,0.90803,0.6988,0.77099,0.57648,0.84457,0.57508,0.95047,0.00013342,0.00013342,0.00013342
28,3228.41,0.85591,0.50244,0.98607,0.91598,0.69334,0.77231,0.57766,0.87815,0.57874,0.95901,0.00010009,0.00010009,0.00010009
29,3332.02,0.85239,0.50095,0.98757,0.92473,0.69842,0.77875,0.5834,0.83386,0.56269,0.95073,6.676e-05,6.676e-05,6.676e-05
30,3428.8,0.82784,0.48248,0.97336,0.91662,0.69884,0.78003,0.5902,0.83285,0.56002,0.94695,3.343e-05,3.343e-05,3.343e-05
