epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3988,1.0067,2.94679,1.16965,0.61857,0.42462,0.45489,0.36734,0.7055,1.2425,0.96654,0.0702703,0.0033033,0.0033033
2,109.689,0.85415,1.17315,1.04826,0.74532,0.47587,0.57254,0.4429,0.70667,1.01813,0.94826,0.0402046,0.00657093,0.00657093
3,161.224,0.85558,1.06422,1.03009,0.76012,0.48524,0.53883,0.40184,0.86278,1.09372,1.02872,0.0100729,0.00977256,0.00977256
4,211.942,0.95639,1.10854,1.07872,0.65648,0.40192,0.44554,0.30153,1.07972,1.55086,1.12612,0.009703,0.009703,0.009703
5,265.906,0.9742,1.09178,1.07726,0.77169,0.39627,0.47778,0.33874,1.06767,1.4768,1.16991,0.009604,0.009604,0.009604
6,320.715,0.95651,1.01378,1.06665,0.80997,0.49947,0.58203,0.43458,0.8687,1.02638,1.0152,0.009505,0.009505,0.009505
7,375.225,0.94499,0.96782,1.05625,0.71753,0.484,0.53776,0.40428,0.96127,1.17762,1.08534,0.009406,0.009406,0.009406
8,429.846,0.92608,0.92717,1.04629,0.83651,0.53932,0.64343,0.47002,0.81341,0.91585,0.98613,0.009307,0.009307,0.009307
9,486.47,0.89062,0.86728,1.03308,0.82148,0.57066,0.65551,0.49598,0.79637,0.80656,0.97507,0.009208,0.009208,0.009208
10,540.159,0.88479,0.85351,1.03217,0.84367,0.54036,0.63965,0.47984,0.79183,0.81288,0.97661,0.009109,0.009109,0.009109
11,596.263,0.87723,0.83919,1.02691,0.82433,0.58903,0.66224,0.50341,0.76888,0.80446,0.96751,0.00901,0.00901,0.00901
12,651.582,0.86859,0.82043,1.02184,0.8906,0.5762,0.67596,0.5104,0.7743,0.74488,0.97,0.008911,0.008911,0.008911
13,705.521,0.83686,0.77629,1.01388,0.85363,0.58897,0.66795,0.49449,0.80779,0.80875,0.98312,0.008812,0.008812,0.008812
14,760.439,0.82686,0.76084,0.99798,0.83122,0.61699,0.68665,0.52318,0.74522,0.72397,0.96284,0.008713,0.008713,0.008713
15,815.223,0.81666,0.74608,0.9998,0.81086,0.60066,0.6682,0.50159,0.80092,0.79101,0.98548,0.008614,0.008614,0.008614
16,868.823,0.80996,0.74343,1.0052,0.89961,0.60019,0.69985,0.53275,0.75168,0.70069,0.95295,0.008515,0.008515,0.008515
17,925.148,0.80581,0.72575,0.98972,0.8451,0.64229,0.70737,0.54435,0.72726,0.66773,0.9539,0.008416,0.008416,0.008416
18,1010.43,0.78192,0.71507,0.98389,0.83984,0.61742,0.69923,0.54281,0.71641,0.68554,0.948,0.008317,0.008317,0.008317
1,97.8242,0.99626,2.91188,1.16545,0.67516,0.38408,0.43869,0.34407,0.78485,1.3272,1.02418,0.0702703,0.0033033,0.0033033
2,194.052,0.86787,1.1908,1.06259,0.78062,0.48545,0.55707,0.43487,0.71154,1.03537,0.95635,0.0400513,0.00641763,0.00641763
3,287.134,0.87153,1.05992,1.03508,0.70975,0.46987,0.54206,0.41283,0.82034,1.11457,0.9977,0.00961225,0.00931195,0.00931195
4,413.203,0.94875,1.09386,1.07538,0.68008,0.4598,0.51055,0.36227,0.9788,1.42315,1.07172,0.00901,0.00901,0.00901
5,511.837,0.94427,1.03034,1.07108,0.7325,0.48079,0.54231,0.40256,0.9277,1.16003,1.06783,0.00868,0.00868,0.00868
6,607.774,0.93111,0.97507,1.04544,0.82352,0.54973,0.61797,0.45707,0.85412,0.90532,1.00623,0.00835,0.00835,0.00835
7,695.901,0.88267,0.89371,1.03166,0.82687,0.55058,0.62995,0.47391,0.83529,0.87501,0.98529,0.00802,0.00802,0.00802
8,780.77,0.87242,0.86516,1.02588,0.83531,0.5559,0.63511,0.48486,0.78952,0.89294,0.98224,0.00769,0.00769,0.00769
9,880.981,0.83807,0.82501,1.00734,0.83538,0.57479,0.6549,0.49617,0.7799,0.81026,0.97764,0.00736,0.00736,0.00736
10,980.279,0.82,0.79371,1.00055,0.85363,0.59415,0.67747,0.52249,0.75907,0.7185,0.94776,0.00703,0.00703,0.00703
11,1066.65,0.81426,0.75908,0.9943,0.86135,0.5985,0.68548,0.52938,0.74745,0.70743,0.96219,0.0067,0.0067,0.0067
12,1159.7,0.79563,0.74793,0.98893,0.84965,0.575,0.66517,0.52259,0.72382,0.69934,0.95251,0.00637,0.00637,0.00637
13,1254.02,0.79995,0.72303,0.98978,0.88298,0.60186,0.69857,0.54539,0.71229,0.66381,0.94621,0.00604,0.00604,0.00604
14,1339.07,0.75937,0.68029,0.97386,0.85735,0.61608,0.6997,0.53876,0.69178,0.66259,0.93635,0.00571,0.00571,0.00571
15,1433.67,0.74936,0.67679,0.9777,0.91203,0.59774,0.69721,0.55523,0.68792,0.67439,0.93832,0.00538,0.00538,0.00538
16,1524.49,0.73429,0.65667,0.96517,0.91636,0.62901,0.71155,0.56085,0.65365,0.62669,0.91838,0.00505,0.00505,0.00505
17,1608.46,0.71111,0.61375,0.95221,0.86213,0.65707,0.73011,0.58229,0.62889,0.5741,0.90644,0.00472,0.00472,0.00472
18,1696.3,0.69642,0.59555,0.94393,0.87868,0.63805,0.71663,0.57942,0.63344,0.60774,0.90367,0.00439,0.00439,0.00439
19,1790.69,0.67653,0.57547,0.93773,0.86975,0.6541,0.73607,0.58755,0.62069,0.57946,0.90692,0.00406,0.00406,0.00406
20,1888.83,0.66677,0.57358,0.93809,0.88778,0.65461,0.73863,0.59183,0.60837,0.56575,0.89954,0.00373,0.00373,0.00373
21,1992.35,0.59109,0.49807,0.88507,0.89586,0.65024,0.73994,0.57886,0.65728,0.57118,0.92987,0.0034,0.0034,0.0034
22,2085.16,0.58161,0.47099,0.87874,0.91534,0.63978,0.73249,0.5838,0.63355,0.57484,0.9115,0.00307,0.00307,0.00307
23,2170.58,0.56987,0.4582,0.87156,0.88904,0.64517,0.73039,0.58212,0.6423,0.58554,0.92818,0.00274,0.00274,0.00274
24,2252.43,0.55044,0.44325,0.86853,0.87932,0.66121,0.73358,0.59144,0.61376,0.56528,0.90518,0.00241,0.00241,0.00241
25,2334.23,0.54021,0.4284,0.86045,0.90592,0.66378,0.74901,0.60707,0.58812,0.53766,0.89096,0.00208,0.00208,0.00208
26,2415.94,0.52191,0.41515,0.85495,0.9063,0.65115,0.7429,0.59863,0.60117,0.54948,0.89719,0.00175,0.00175,0.00175
27,2508.12,0.50804,0.38676,0.84949,0.89438,0.66118,0.74279,0.60409,0.58075,0.53705,0.88895,0.00142,0.00142,0.00142
28,2597.51,0.48798,0.37274,0.84344,0.90212,0.69102,0.75722,0.61108,0.57658,0.51077,0.89325,0.00109,0.00109,0.00109
29,2689.49,0.47635,0.36127,0.84411,0.92578,0.67123,0.7615,0.62049,0.56053,0.50971,0.8879,0.00076,0.00076,0.00076
30,2777.64,0.47022,0.35107,0.84407,0.90018,0.69597,0.76243,0.62478,0.55531,0.50955,0.88658,0.00043,0.00043,0.00043
