epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8758,1.05499,3.02426,1.11549,0.70917,0.19045,0.23455,0.17965,0.93914,2.21495,0.97788,0.000299557,0.000299557,0.000299557
2,49.0972,1.04422,1.85167,1.0939,0.49387,0.36173,0.3728,0.2731,0.93116,1.44478,0.99125,0.000596592,0.000596592,0.000596592
3,71.7956,1.02264,1.6286,1.0905,0.58728,0.40889,0.43734,0.31548,0.93122,1.32531,0.99991,0.000887627,0.000887627,0.000887627
4,94.3504,1.03664,1.47155,1.08787,0.66322,0.44921,0.47922,0.33392,0.93649,1.2208,1.01076,0.000882003,0.000882003,0.000882003
5,116.682,0.99757,1.33837,1.07079,0.79613,0.47758,0.54294,0.39853,0.86758,0.96378,0.96937,0.000873004,0.000873004,0.000873004
6,138.855,0.97186,1.26185,1.06429,0.77046,0.45428,0.52832,0.39009,0.85336,0.99857,0.9571,0.000864004,0.000864004,0.000864004
7,161.177,0.95793,1.17537,1.04751,0.75496,0.48162,0.5447,0.40181,0.84143,0.95136,0.95663,0.000855005,0.000855005,0.000855005
8,183.514,0.90874,1.12066,1.03873,0.75512,0.5001,0.56224,0.41233,0.81626,0.96737,0.94168,0.000846006,0.000846006,0.000846006
9,205.646,0.91059,1.06907,1.03549,0.7721,0.49953,0.56993,0.43336,0.77941,0.84809,0.93845,0.000837007,0.000837007,0.000837007
10,227.808,0.9117,1.00058,1.02073,0.83272,0.51911,0.59511,0.44321,0.76259,0.78557,0.92256,0.000828008,0.000828008,0.000828008
11,249.843,0.89292,0.97555,1.02009,0.8102,0.53391,0.60492,0.46485,0.73761,0.73409,0.9037,0.000819009,0.000819009,0.000819009
12,272.059,0.8613,0.94264,1.00163,0.76687,0.48926,0.5654,0.43401,0.75736,0.83946,0.91873,0.00081001,0.00081001,0.00081001
13,294.154,0.85423,0.9102,0.99657,0.83476,0.54865,0.62655,0.48317,0.71941,0.71958,0.9021,0.000801011,0.000801011,0.000801011
14,316.791,0.86137,0.90638,1.00594,0.80811,0.54034,0.60612,0.45995,0.7388,0.74333,0.90261,0.000792012,0.000792012,0.000792012
15,338.805,0.86089,0.88333,0.99864,0.85346,0.54959,0.6293,0.48316,0.69524,0.68824,0.88728,0.000783013,0.000783013,0.000783013
16,360.803,0.82235,0.8386,0.99128,0.85075,0.57686,0.64956,0.49777,0.68426,0.64871,0.88685,0.000774013,0.000774013,0.000774013
17,383.498,0.83105,0.84551,0.99244,0.83921,0.5761,0.64795,0.49961,0.6863,0.62838,0.88803,0.000765014,0.000765014,0.000765014
18,405.501,0.80584,0.80793,0.97567,0.85871,0.56112,0.64683,0.50377,0.66753,0.617,0.87685,0.000756015,0.000756015,0.000756015
19,427.546,0.79139,0.79773,0.98065,0.86675,0.57817,0.65564,0.50348,0.6672,0.60913,0.87221,0.000747016,0.000747016,0.000747016
20,449.35,0.79116,0.78497,0.96962,0.84462,0.58957,0.6606,0.50911,0.66465,0.61235,0.87319,0.000738017,0.000738017,0.000738017
21,471.96,0.81265,0.78275,0.97585,0.86108,0.57178,0.65211,0.50837,0.65274,0.60662,0.86523,0.000729018,0.000729018,0.000729018
22,494.526,0.77747,0.74591,0.9699,0.84814,0.57716,0.6567,0.5103,0.67702,0.61355,0.87633,0.000720019,0.000720019,0.000720019
23,517.037,0.78808,0.75472,0.96978,0.87097,0.58831,0.66404,0.51238,0.65945,0.58377,0.87392,0.00071102,0.00071102,0.00071102
24,539.567,0.77007,0.74677,0.96135,0.81464,0.56917,0.64129,0.50592,0.65261,0.62311,0.86768,0.000702021,0.000702021,0.000702021
